timestamp,sim_time_s,cars_alive,total_gerado,carros_saídos,waiting_v,waiting_h,ped_waiting,priority
1762981825.1552894,1.01,0,0,0,0,0,0,0.07
1762981826.1676662,2.02,0,0,0,0,0,0,0.13
1762981827.1825562,3.04,2,2,0,0,0,0,0.20
1762981828.1966276,4.05,4,4,0,0,0,0,0.27
1762981829.2089536,5.07,4,4,0,1,0,0,0.94
1762981830.2213087,6.08,5,5,0,1,0,0,1.00
1762981831.225749,7.08,6,6,0,1,0,0,1.07
1762981832.2416224,8.10,8,8,0,1,0,0,1.14
1762981833.258001,9.11,8,8,0,2,0,0,1.81
1762981834.2662265,10.12,8,10,2,3,0,0,2.48
1762981835.276202,11.13,7,10,3,3,0,0,2.54
1762981836.2779138,12.13,7,11,4,3,0,0,2.61
1762981837.2944171,13.15,7,11,4,3,0,0,2.68
1762981838.2965012,14.15,9,13,4,4,0,0,3.35
1762981839.3026369,15.16,11,15,4,4,0,0,3.36
1762981846.9211721,1.01,3,3,0,0,0,0,0.07
1762981847.922379,2.01,3,3,0,1,0,0,0.73
1762981848.9347944,3.02,3,3,0,1,0,0,0.80
1762981849.9491775,4.03,7,7,0,1,0,0,0.87
1762981850.958971,5.04,11,11,0,1,0,0,0.94
1762981851.970308,6.05,14,15,1,3,0,0,2.20
1762981852.9833782,7.07,16,17,1,3,0,0,2.27
1762981853.9880016,8.07,16,19,3,3,0,0,2.34
1762981854.9926424,9.08,17,20,3,4,0,0,3.01
1762981855.9964895,10.08,17,20,3,5,0,0,3.67
1762981857.0015197,11.08,16,22,6,5,0,0,3.74
1762981858.004665,12.09,16,24,8,5,0,0,3.80
1762981859.009148,13.10,18,26,8,5,2,0,3.80
1762981860.0143423,14.10,19,27,8,5,2,0,3.80
1762981861.0234509,15.11,20,28,8,5,4,0,2.41
1762981862.035062,16.12,21,29,8,4,4,0,2.48
1762981863.039653,17.12,21,29,8,0,4,0,2.55
1762981864.0466483,18.13,23,31,8,0,4,0,2.62
1762981865.063791,19.15,24,32,8,0,4,0,2.68
1762981866.064869,20.15,20,33,13,0,4,0,2.75
1762981867.0649586,21.15,17,34,17,0,4,0,2.82
1762981868.0709307,22.15,19,37,18,0,5,0,3.49
1762981869.0840962,23.17,22,40,18,0,5,0,3.55
1762981870.0971344,24.18,24,43,19,0,5,0,3.62
1762981871.098738,25.18,24,44,20,0,5,0,3.69
1762981872.1094947,26.19,26,48,22,0,5,0,3.76
1762981873.1115193,27.20,26,49,23,0,5,0,3.80
1762981874.122093,28.21,27,50,23,2,5,1,3.80
1762981875.136034,29.22,27,50,23,2,5,1,3.80
1762981876.1536615,30.24,24,51,27,3,7,0,1.83
1762981877.1663713,31.25,26,55,29,3,8,0,1.90
1762981878.1784844,32.26,26,55,29,3,8,0,1.96
1762981879.1855268,33.27,25,55,30,4,8,0,2.63
1762981880.1964116,34.28,27,57,30,4,8,0,2.70
1762981881.208398,35.29,27,57,30,5,8,0,3.37
1762981882.2165453,36.30,27,57,30,5,8,0,3.43
1762981883.2195292,37.30,29,59,30,5,8,0,3.50
1762981884.2260125,38.31,32,62,30,5,8,0,3.57
1762981885.2326605,39.32,33,63,30,5,8,0,3.64
1762981886.2348714,40.32,35,65,30,5,8,0,3.70
1762981887.236949,41.32,36,67,31,5,8,0,3.77
1762981888.2403998,42.33,36,69,33,5,9,0,3.80
1762981889.2545204,43.34,36,70,34,5,9,0,3.80
1762981890.2617218,44.35,37,72,35,5,9,1,3.80
1762981891.2646248,45.35,38,73,35,7,9,0,5.40
1762981892.2706764,46.36,38,73,35,7,9,0,5.40
1762981893.271706,47.36,38,73,35,7,9,0,5.40
1762981894.2782884,48.36,38,73,35,7,9,0,4.24
1762981895.2831023,49.37,39,76,37,7,9,0,4.31
1762981896.2902157,50.37,40,78,38,7,9,0,4.38
1762981897.2877538,51.37,41,79,38,7,9,1,4.44
1762981898.3020117,52.39,41,79,38,7,9,1,4.44
1762981899.3080122,53.39,41,81,40,7,9,1,4.44
1762981900.3174384,54.40,41,83,42,7,9,0,5.40
1762981901.3279035,55.41,41,85,44,7,9,1,5.40
1762981902.32899,56.42,41,87,46,7,9,1,5.40
1762981903.3393872,57.42,41,87,46,7,9,0,4.21
1762981904.3391826,58.42,41,91,50,7,9,0,4.28
1762981905.3417256,59.42,41,93,52,7,9,0,4.34
1762981906.3531098,60.44,41,94,53,7,9,0,4.41
1762981907.363258,61.45,41,94,53,7,9,0,4.41
1762981908.3778565,62.46,41,94,53,7,9,0,4.41
1762981909.3813279,63.47,41,94,53,7,9,0,5.40
1762981910.3897514,64.48,41,94,53,7,9,0,5.40
1762981911.4031122,65.49,41,94,53,7,9,0,5.40
1762981912.4108193,66.49,41,94,53,7,9,0,4.21
1762981913.4159975,67.50,41,95,54,7,9,0,4.27
1762981914.4289489,68.51,41,95,54,7,9,0,4.34
1763052278.4829824,1.00,1,1,0,0,0,0,0.07
